Table Name,Row Count
BP3_BADETAIL,0
CPM_INTR_FILL_LOG,20
FBCM_BUSINESS_STEP,42
RMIS_MON_IND_FINANCE_FORMUAL,151
CPM_ACC_INTR,3568
CMS_CLT_BIZFLOW,0
IAB_POUNDAGE_FEE,0
SDM_VCH_STYLE_PROP_BAK,396
CLT_INFO_FIELD,132
DBMS_NOTIFICATION_DETAIL,0
CLT_CLT_INFO_20210202,225
SIS_PROD_STOCK_PD_0610,4
SIS_BANKSETRANSFER_PD,0
BERS_ELECTRONICAL_BILL_20220221,1418
BIZ_TASK_TYPE,5
DBMS_SETTLE_DAILY_SUMMARY,0
ASTR_CHARGE_LOG,0
SYNC_THAN_SQL,3
DBC_ORDERINFO,124355
CLT_CHECK_RULE,0
DBS_IMPBILL,0
FB_DISCOUNT_APPLY,0
PRMS_TX_PROP,5147
CLT_USER_GROUP_INFO,57
TEMP_REPAMENT,0
SDM_SEAL_BRANCH,3
FB_LEDGER_ACCOUNT,996
GP_DATASET,0
MBTD_BD_BATCH_DELETE,0
CLT_ARTIFAMI,0
IMES_AUTHORIZEGRADE,0
RMIS_SYS_STANDARD_INFO,272
LCTS_PAYMENT_UPDATE_LOG,0
ISS_ATTENTION_OUTACCOUNT,0
SOSP_JOB_EXE_COUNT,0
WF_MYPROFILE,0
RMS_WCL_RATE_REC,0
DATE_WORD,59
IS_BIZDATA,0
GP_REPORT_DEF,137
CPM_FUND_DEDUCT,0
PRMS_RATCREDIT_APPLY,0
CRE_ASSET_TRANS_DETAIL,0
GP_CELLS,9523
GLS_PAYMENT_APPLY_ITEM,0
GTSE_INIT_BALANCE,2
DBMS_TXSOURCE_DEALLOG,0
CLT_BLACK_LIST,0
BP3_BILLANDRETURN,0
IDS_INTR_MONTH_DAYS,2
FB_SPECIAL_CHARGE_LOG,0
CPM_MEMBER_GROUP,3
POMS_TEMPLATE_ELEMENT,504
ICS_CREDIT_LENDING_SCALE_LOG,0
IMES_SPECIALFACTOR,34
EDC_DAYCHECKDETAIL,1
SMB_ELEMENT_CUST,0
BERS_STATEMENT,0
CLT_CORRESSPONDENT,8
FB_BIZTYPE_CHARGES,0
CPM_CMS_CONSIGN_SETTING,0
DBS_ACCOUNT,1
BP3_BANK_TIMEACCT_BALANCE,0
IMES_CALCULATORPARAM,34
MBTD_BD_CIF_EXECUTIVE,0
FB_INTREST_RATES,2792
DRS_SUBJECT_REPORT_ITEM_APPLY,5454
MBTD_BD_REGICAPT,0
MBTD_BD_ARTIFAMI,0
CPM_ACCOUNT_RULE,15571
CPM_VCH_DRAFT,1203041
BP3_JUSTICE_QUERY_BILL,0
IMES_CREDITMODEL,4
DBS_ACCOUNT_RECORD,333
IMES_CUSTOMERRANK,31
ICS_CREDIT_GRANT,104
FB_GROUP_BANK,6
SOSP_CONSOLE_SCHEDULE_STATE,0
BCS_BANK_ACCOUNT_20231024,715
PRMS_TEMPLET,8
EDC_MSGEXCEPTION_LOG,0
SDM_VCH_STYLE_SCENE_BAK,83
CPM_INTR_LOG_001200201010002,1
EDC_CONTRACT,0
MT_MESSAGE,0
SDM_STATEMENT_DIFF_DETAIL,3545
SDM_VCH_SORT,2
SDM_FILTER_PARAM,16
SDM_FILTER_PARAMTMP,0
GP_REPORT_FILE,0
GP_REPORT_MODEL,89
TEMP_RELATION,0
DBMS_CUEINFO,0
REPORTNOTES,0
GTSE_NET_POSITION,0
SMB_DS_DETAIL,1164
BCS_RECORD_20220106,29
SDM_VCH_STYLE,24
BRS_STATEMENT_RECORD,14002
IMES_BASEDATAITEM,325
FB_LEDGERS,26957
BRS_BALANCE_FORMULA,14002
DBC_IMAGEINFO,9779
BP3_BANK_ACCOUNT,925
SRP_SEQUENCE,9787
DRS_DEPOSIT_REPORT_APPLY,149
SIS_SOLDAPPLY_PD,19
LCTS_SPECIAL_CLT_TEMP,0
SIS_TX_INFO_PD_0615,23
BERS_ELECTRONICAL_BILL1028,153
RQC_RECORDTYPE,34
DBMS_TRUST_BANK,0
FB_DATA_ACL,1900
BCM_PAYMENT_TYPE,16
WFFUNC,0
BCM_ORDER_LOG,203317
BCS_ITEM_UPDATE,607155
BP3_JUSTICE_MEASURES,0
FB_EXCHANGE_RATES,0
CPM_BENCHMARK_RATE_TYPE,0
TPS_COMMON_FILE,0
BP3_BANK,77
SSM_DOC_INFO,318
CLT_MANAGERS,15
CML_ABNORMALTRADE,818279
CPM_CUSTOMER_ACC_GROUP,0
SIS_INVEST_AUTH_PD,2
CPM_FEE_LOG,0
BP3_TX_ORDER_ITEM,0
FB_BALANCE_ALLOT_LOG,0
EDC_MAXNUMBER,696
SIS_BUYAPPLY_PD,26
DBS_RPTNO,116819
GLS_SVITEM,2725
EDC_BILL,12732
CPM_PRINT_COUNT,515
DBMS_TXTYPE,57
SMB_GMPAGE_UNIT,0
PUB_PARAM,167
IBT_BONDINFO,0
CLT_CONF_INFO,2532
PTMB_BUDET_ACCCONTRAST,0
BP3_BILL_WAIT_SIGN_BILLINFO,0
IAB_FILE,0
SRP_DOCUMENT_FILE,2536
SRP_DOCUMENT_CONFIG,1654
SRP_SHEET_TAB,2845
SRP_SHEET_TAB_ELEMENT,15252
SRP_SHEET_CELL_TEMPLATE,0
SRP_SHEET_CELL_1,707552
SRP_SHEET_DROPDOWN,0
